NNUM,Student_ID,Grade_percent,DDate
81,3051063,0.0,2022-09-20
82,3051059,0.0,2022-09-20
83,3051056,0.0,2022-09-20
84,3051053,0.0,2022-09-20
85,3051050,0.0,2022-09-20
86,3051048,0.0,2022-09-20
87,2736557,0.0,2022-09-20
88,1088269,10.0,2022-09-20
89,3051045,0.0,2022-09-20
90,3051042,0.0,2022-09-20
91,3023109,0.0,2022-09-20
92,3051039,0.0,2022-09-20
93,3051036,0.0,2022-09-20
94,3051033,0.0,2022-09-20
95,2736407,0.0,2022-09-20
96,3051030,0.0,2022-09-20
97,3051028,0.0,2022-09-20
98,3051025,0.0,2022-09-20
99,3049925,0.0,2022-09-20
100,3051022,0.0,2022-09-20
101,3051018,0.0,2022-09-20
102,3023108,0.0,2022-09-20
103,3051014,0.0,2022-09-20
104,3194256,0.0,2022-09-20
105,3051012,0.0,2022-09-20
106,3051009,0.0,2022-09-20
107,3051004,0.0,2022-09-20
108,3051001,0.0,2022-09-20
109,3050998,0.0,2022-09-20
110,3050995,0.0,2022-09-20
111,2759829,0.0,2022-09-20
112,3050992,0.0,2022-09-20
113,3050988,0.0,2022-09-20
114,3050985,0.0,2022-09-20
115,3050982,0.0,2022-09-20
116,3050979,0.0,2022-09-20
117,3050976,0.0,2022-09-20
118,3050973,0.0,2022-09-20
119,3050970,0.0,2022-09-20
120,3023106,0.0,2022-09-20
121,3050964,0.0,2022-09-20
122,3050961,0.0,2022-09-20
123,3050958,0.0,2022-09-20
124,2697612,0.0,2022-09-20
125,3050955,0.0,2022-09-20
126,2736540,0.0,2022-09-20
127,3050949,0.0,2022-09-20
128,2945045,0.0,2022-09-20
129,3050946,9.0,2022-09-20
130,3050943,0.0,2022-09-20
131,3023105,0.0,2022-09-20
132,3050940,0.0,2022-09-20
133,3050937,0.0,2022-09-20
134,3050934,0.0,2022-09-20
135,3050931,0.0,2022-09-20
136,3050928,0.0,2022-09-20
137,3050925,0.0,2022-09-20
138,2963875,0.0,2022-09-20
139,3050921,0.0,2022-09-20
140,3050918,0.0,2022-09-20
141,3050916,0.0,2022-09-20
142,3050913,0.0,2022-09-20
143,3050910,0.0,2022-09-20
144,3050907,0.0,2022-09-20
145,3050904,0.0,2022-09-20
146,3050900,0.0,2022-09-20
147,2759605,0.0,2022-09-20
148,2982465,0.0,2022-09-20
149,3050896,0.0,2022-09-20
150,3050893,0.0,2022-09-20
151,3050890,0.0,2022-09-20
152,3218254,0.0,2022-09-20
153,2846594,0.0,2022-09-20
154,2757027,21.0,2022-09-20
155,3050884,6.0,2022-09-20
156,3050881,0.0,2022-09-20
157,3050878,6.0,2022-09-20
158,3050875,0.0,2022-09-20
159,3050872,0.0,2022-09-20
160,3050868,0.0,2022-09-20
161,3050866,0.0,2022-09-20
162,3050861,0.0,2022-09-20
163,3050857,0.0,2022-09-20
164,3023103,0.0,2022-09-20
165,3050854,0.0,2022-09-20
166,3050850,0.0,2022-09-20
167,3023102,0.0,2022-09-20
168,3050846,0.0,2022-09-20
169,2736485,0.0,2022-09-20
170,2705897,0.0,2022-09-20
171,3049735,0.0,2022-09-20
172,3050842,0.0,2022-09-20
173,3050838,0.0,2022-09-20
174,3050834,0.0,2022-09-20
175,3023101,0.0,2022-09-20
176,3050831,0.0,2022-09-20
177,3050827,0.0,2022-09-20
178,2727921,0.0,2022-09-20
179,3023100,0.0,2022-09-20
180,3050823,0.0,2022-09-20
181,3050062,0.0,2022-09-20
182,2701102,0.0,2022-09-20
183,3050819,0.0,2022-09-20
184,3050815,1.0,2022-09-20
185,179597,0.0,2022-09-20
186,3050811,0.0,2022-09-20
187,3050807,0.0,2022-09-20
188,3023099,0.0,2022-09-20
189,3050804,0.0,2022-09-20
190,3023098,0.0,2022-09-20
191,3050800,0.0,2022-09-20
192,1442372,0.0,2022-09-20
193,3050796,0.0,2022-09-20
194,3050790,0.0,2022-09-20
195,3050786,0.0,2022-09-20
196,3050783,0.0,2022-09-20
197,3050779,0.0,2022-09-20
198,3050775,0.0,2022-09-20
199,2701089,0.0,2022-09-20
200,3023097,0.0,2022-09-20
201,3050767,0.0,2022-09-20
202,3050762,1.0,2022-09-20
203,3050757,0.0,2022-09-20
204,3050753,0.0,2022-09-20
205,3050749,0.0,2022-09-20
206,3023096,0.0,2022-09-20
207,3050744,0.0,2022-09-20
208,3050740,0.0,2022-09-20
209,3050731,0.0,2022-09-20
210,3050724,0.0,2022-09-20
211,3050720,0.0,2022-09-20
212,3050715,0.0,2022-09-20
213,3050711,0.0,2022-09-20
214,3050439,0.0,2022-09-20
215,3050707,0.0,2022-09-20
216,3050702,0.0,2022-09-20
217,1522393,0.0,2022-09-20
218,3050694,0.0,2022-09-20
219,3050689,4.0,2022-09-20
220,3050684,0.0,2022-09-20
221,3050681,0.0,2022-09-20
222,3050676,0.0,2022-09-20
223,3050671,0.0,2022-09-20
224,3050668,0.0,2022-09-20
225,3050660,0.0,2022-09-20
226,3050656,0.0,2022-09-20
227,3050653,0.0,2022-09-20
228,3050649,0.0,2022-09-20
229,3050645,0.0,2022-09-20
230,3050641,0.0,2022-09-20
231,3050637,0.0,2022-09-20
232,3029613,0.0,2022-09-20
233,3050633,0.0,2022-09-20
234,2883206,0.0,2022-09-20
235,3050630,0.0,2022-09-20
236,3050626,0.0,2022-09-20
237,3050622,0.0,2022-09-20
238,3050618,0.0,2022-09-20
239,3050613,0.0,2022-09-20
240,2698815,0.0,2022-09-20
241,3050608,0.0,2022-09-20
242,3050605,0.0,2022-09-20
243,3023095,0.0,2022-09-20
244,3050602,0.0,2022-09-20
245,3050597,0.0,2022-09-20
246,3050593,0.0,2022-09-20
247,2374170,0.0,2022-09-20
248,3023094,0.0,2022-09-20
249,3023093,0.0,2022-09-20
250,3050590,0.0,2022-09-20
251,3050586,0.0,2022-09-20
252,3022896,0.0,2022-09-20
253,3050582,2.0,2022-09-20
254,3050578,0.0,2022-09-20
255,3050574,0.0,2022-09-20
256,3023090,0.0,2022-09-20
257,3050567,0.0,2022-09-20
258,3050557,0.0,2022-09-20
259,2701062,0.0,2022-09-20
260,3050556,0.0,2022-09-20
261,3023089,0.0,2022-09-20
262,1537155,0.0,2022-09-20
263,2701059,0.0,2022-09-20
264,3050553,0.0,2022-09-20
265,3023088,1.0,2022-09-20
266,3023087,0.0,2022-09-20
267,3050550,0.0,2022-09-20
268,3023086,0.0,2022-09-20
269,3199808,0.0,2022-09-20
270,3023085,0.0,2022-09-20
271,3050547,0.0,2022-09-20
272,1553881,0.0,2022-09-20
273,2269932,12.0,2022-09-20
274,680233,0.0,2022-09-20
275,3050541,0.0,2022-09-20
276,3045739,0.0,2022-09-20
277,3050538,7.000000000000001,2022-09-20
278,3023083,0.0,2022-09-20
279,3050529,0.0,2022-09-20
280,3050526,0.0,2022-09-20
281,2998062,0.0,2022-09-20
282,3023082,0.0,2022-09-20
283,3050520,0.0,2022-09-20
284,3050517,0.0,2022-09-20
285,3050514,0.0,2022-09-20
286,3023081,0.0,2022-09-20
287,3050511,1.0,2022-09-20
288,3050508,0.0,2022-09-20
289,3050505,0.0,2022-09-20
290,3050500,0.0,2022-09-20
291,3033472,0.0,2022-09-20
292,3050497,0.0,2022-09-20
293,3050494,10.0,2022-09-20
294,3050491,0.0,2022-09-20
295,2701311,0.0,2022-09-20
296,3050488,0.0,2022-09-20
297,3050486,0.0,2022-09-20
298,3050483,0.0,2022-09-20
299,3050481,0.0,2022-09-20
300,3050476,0.0,2022-09-20
301,3050474,0.0,2022-09-20
302,3023080,0.0,2022-09-20
303,3050468,2.0,2022-09-20
304,3050465,0.0,2022-09-20
305,3050462,0.0,2022-09-20
306,2701030,0.0,2022-09-20
307,3050459,0.0,2022-09-20
308,2701029,0.0,2022-09-20
309,3023079,0.0,2022-09-20
310,3050449,0.0,2022-09-20
311,3050446,0.0,2022-09-20
312,3050435,0.0,2022-09-20
313,3050432,0.0,2022-09-20
314,3050426,0.0,2022-09-20
315,2701024,0.0,2022-09-20
316,3050420,0.0,2022-09-20
317,3050417,0.0,2022-09-20
318,3023078,0.0,2022-09-20
319,3050495,0.0,2022-09-20
320,3050415,0.0,2022-09-20
321,3050412,0.0,2022-09-20
322,3050409,0.0,2022-09-20
323,3050406,9.0,2022-09-20
324,3023076,1.0,2022-09-20
325,3050403,0.0,2022-09-20
326,3023075,0.0,2022-09-20
327,3050401,0.0,2022-09-20
328,2970396,0.0,2022-09-20
329,3050395,0.0,2022-09-20
330,3050392,0.0,2022-09-20
331,3050390,0.0,2022-09-20
332,3050387,0.0,2022-09-20
333,3050381,0.0,2022-09-20
334,3050378,0.0,2022-09-20
335,3050375,0.0,2022-09-20
336,3023074,0.0,2022-09-20
337,3222870,0.0,2022-09-20
338,1995788,0.0,2022-09-20
339,3050369,0.0,2022-09-20
340,3234231,0.0,2022-09-20
341,1376325,0.0,2022-09-20
342,3050366,6.0,2022-09-20
343,3050363,0.0,2022-09-20
344,3050360,0.0,2022-09-20
345,3050357,0.0,2022-09-20
346,3050353,0.0,2022-09-20
347,3050350,0.0,2022-09-20
348,2863501,0.0,2022-09-20
349,3050347,0.0,2022-09-20
350,3050342,0.0,2022-09-20
351,3050338,0.0,2022-09-20
352,3050335,0.0,2022-09-20
353,1082437,0.0,2022-09-20
354,3050332,0.0,2022-09-20
355,3050329,0.0,2022-09-20
356,2736566,0.0,2022-09-20
357,3050325,0.0,2022-09-20
358,3050322,0.0,2022-09-20
359,1454596,0.0,2022-09-20
360,3050320,0.0,2022-09-20
361,3050317,0.0,2022-09-20
362,3050311,0.0,2022-09-20
363,3050308,0.0,2022-09-20
364,3050305,0.0,2022-09-20
365,3023073,0.0,2022-09-20
366,3050302,0.0,2022-09-20
367,3050299,0.0,2022-09-20
368,3050162,0.0,2022-09-20
369,3050296,0.0,2022-09-20
370,3050290,0.0,2022-09-20
371,1523104,0.0,2022-09-20
372,3023072,0.0,2022-09-20
373,3023071,5.0,2022-09-20
374,2700988,0.0,2022-09-20
375,3050284,0.0,2022-09-20
376,3339294,0.0,2022-09-20
377,3050281,0.0,2022-09-20
378,1299359,0.0,2022-09-20
379,3050278,0.0,2022-09-20
380,3050275,0.0,2022-09-20
381,3050272,0.0,2022-09-20
382,3050269,0.0,2022-09-20
383,3050267,0.0,2022-09-20
384,3050264,0.0,2022-09-20
385,3050262,0.0,2022-09-20
386,1425285,3.0,2022-09-20
387,3050256,0.0,2022-09-20
388,3050253,2.0,2022-09-20
389,3050250,1.0,2022-09-20
390,3050244,0.0,2022-09-20
391,3050240,0.0,2022-09-20
392,3050237,0.0,2022-09-20
393,3050234,0.0,2022-09-20
394,3050231,0.0,2022-09-20
395,3023069,0.0,2022-09-20
396,3023068,0.0,2022-09-20
397,3050229,0.0,2022-09-20
398,3050226,0.0,2022-09-20
399,3050216,0.0,2022-09-20
400,2700968,0.0,2022-09-20
401,3050213,0.0,2022-09-20
402,3050210,0.0,2022-09-20
403,3050207,0.0,2022-09-20
404,3022904,0.0,2022-09-20
405,3050201,0.0,2022-09-20
406,3050197,0.0,2022-09-20
407,3050194,0.0,2022-09-20
408,3050191,0.0,2022-09-20
409,3050188,0.0,2022-09-20
410,3023066,0.0,2022-09-20
411,3050185,0.0,2022-09-20
412,3050182,0.0,2022-09-20
413,3050179,0.0,2022-09-20
414,3050175,0.0,2022-09-20
415,3050172,0.0,2022-09-20
416,3050166,0.0,2022-09-20
417,3050163,1.0,2022-09-20
418,3220144,0.0,2022-09-20
419,3050160,0.0,2022-09-20
420,3050157,0.0,2022-09-20
421,3117247,0.0,2022-09-20
422,3050151,0.0,2022-09-20
423,3050148,0.0,2022-09-20
424,3050137,0.0,2022-09-20
425,3050134,0.0,2022-09-20
426,3050131,0.0,2022-09-20
427,3050128,7.000000000000001,2022-09-20
428,3050125,0.0,2022-09-20
429,3023063,0.0,2022-09-20
430,3050123,0.0,2022-09-20
431,1671809,0.0,2022-09-20
432,3050120,0.0,2022-09-20
433,2867883,0.0,2022-09-20
434,3050117,0.0,2022-09-20
435,3050114,0.0,2022-09-20
436,3023062,0.0,2022-09-20
437,3023061,0.0,2022-09-20
438,3050111,0.0,2022-09-20
439,3023060,0.0,2022-09-20
440,3050108,8.0,2022-09-20
441,3050105,0.0,2022-09-20
442,2728419,0.0,2022-09-20
443,3050102,0.0,2022-09-20
444,3050099,0.0,2022-09-20
445,2698548,0.0,2022-09-20
446,3050096,0.0,2022-09-20
447,1617872,0.0,2022-09-20
448,3050093,0.0,2022-09-20
449,3050089,0.0,2022-09-20
450,3050082,0.0,2022-09-20
451,3050079,0.0,2022-09-20
452,2978859,0.0,2022-09-20
453,3050076,0.0,2022-09-20
454,3050074,0.0,2022-09-20
455,3050071,0.0,2022-09-20
456,3050067,0.0,2022-09-20
457,3023059,0.0,2022-09-20
458,3050064,0.0,2022-09-20
459,3050061,0.0,2022-09-20
460,3049153,0.0,2022-09-20
461,3050058,0.0,2022-09-20
462,3050055,0.0,2022-09-20
463,3050053,0.0,2022-09-20
464,3050050,0.0,2022-09-20
465,3050045,0.0,2022-09-20
466,3050042,0.0,2022-09-20
467,3050039,0.0,2022-09-20
468,3050037,0.0,2022-09-20
469,3050034,0.0,2022-09-20
470,3050030,0.0,2022-09-20
471,3023058,0.0,2022-09-20
472,3050027,0.0,2022-09-20
473,3050024,0.0,2022-09-20
474,3050022,0.0,2022-09-20
475,3050018,0.0,2022-09-20
476,2887375,0.0,2022-09-20
477,3050016,0.0,2022-09-20
478,3050013,0.0,2022-09-20
479,3050010,14.000000000000002,2022-09-20
480,805276,0.0,2022-09-20
481,3050007,0.0,2022-09-20
482,3050000,0.0,2022-09-20
483,2736488,0.0,2022-09-20
484,3023057,0.0,2022-09-20
485,2728491,0.0,2022-09-20
486,3209729,0.0,2022-09-20
487,2701224,0.0,2022-09-20
488,3049992,0.0,2022-09-20
489,3049989,0.0,2022-09-20
490,3049986,0.0,2022-09-20
491,3223361,0.0,2022-09-20
492,3049983,2.0,2022-09-20
493,2983527,0.0,2022-09-20
494,3029819,0.0,2022-09-20
495,2846844,0.0,2022-09-20
496,3049968,0.0,2022-09-20
497,3049954,6.0,2022-09-20
498,3049950,0.0,2022-09-20
499,3049947,0.0,2022-09-20
500,3049944,0.0,2022-09-20
501,3049933,0.0,2022-09-20
502,3049929,0.0,2022-09-20
503,3049926,0.0,2022-09-20
504,3023056,6.0,2022-09-20
505,3049923,0.0,2022-09-20
506,3051157,0.0,2022-09-20
507,3049917,0.0,2022-09-20
508,413308,0.0,2022-09-20
509,3049911,0.0,2022-09-20
510,3049906,0.0,2022-09-20
511,3049903,0.0,2022-09-20
512,3049900,0.0,2022-09-20
513,3049897,17.0,2022-09-20
514,3023055,0.0,2022-09-20
515,3049894,0.0,2022-09-20
516,3049891,0.0,2022-09-20
517,2700901,0.0,2022-09-20
518,3049882,0.0,2022-09-20
519,3049879,0.0,2022-09-20
520,3049876,0.0,2022-09-20
521,3023054,0.0,2022-09-20
522,3023053,0.0,2022-09-20
523,3049873,0.0,2022-09-20
524,3049870,2.0,2022-09-20
525,2700895,0.0,2022-09-20
526,3049867,0.0,2022-09-20
527,3049864,0.0,2022-09-20
528,3049861,0.0,2022-09-20
529,3049858,0.0,2022-09-20
530,3049855,0.0,2022-09-20
531,3049852,0.0,2022-09-20
532,3049847,0.0,2022-09-20
533,3049845,0.0,2022-09-20
534,3212660,1.0,2022-09-20
535,3049842,0.0,2022-09-20
536,3049838,0.0,2022-09-20
537,3049835,0.0,2022-09-20
538,3049829,0.0,2022-09-20
539,3049826,6.0,2022-09-20
540,3049823,0.0,2022-09-20
541,3049819,0.0,2022-09-20
542,788689,0.0,2022-09-20
543,3049813,0.0,2022-09-20
544,3049810,0.0,2022-09-20
545,1514225,0.0,2022-09-20
546,3049807,0.0,2022-09-20
547,3049804,0.0,2022-09-20
548,2700881,0.0,2022-09-20
549,3049801,0.0,2022-09-20
550,2700878,0.0,2022-09-20
551,3023052,0.0,2022-09-20
552,3049792,0.0,2022-09-20
553,3049788,0.0,2022-09-20
554,3049785,0.0,2022-09-20
555,3049781,0.0,2022-09-20
556,3049774,0.0,2022-09-20
557,3023051,0.0,2022-09-20
558,3049771,0.0,2022-09-20
559,3049768,0.0,2022-09-20
560,3049765,0.0,2022-09-20
561,3023050,0.0,2022-09-20
562,3023049,0.0,2022-09-20
563,3049762,0.0,2022-09-20
564,3049758,0.0,2022-09-20
565,3049754,0.0,2022-09-20
566,2947194,0.0,2022-09-20
567,3049751,0.0,2022-09-20
568,3049748,0.0,2022-09-20
569,3049745,0.0,2022-09-20
570,3049742,0.0,2022-09-20
571,3023048,0.0,2022-09-20
572,3049739,0.0,2022-09-20
573,3049736,0.0,2022-09-20
574,3049733,0.0,2022-09-20
575,2997916,0.0,2022-09-20
576,3051207,0.0,2022-09-20
577,3051205,0.0,2022-09-20
578,3051203,0.0,2022-09-20
579,3082461,0.0,2022-09-20
580,2700862,0.0,2022-09-20
581,3023045,0.0,2022-09-20
582,3051201,0.0,2022-09-20
583,3051199,0.0,2022-09-20
584,3023044,0.0,2022-09-20
585,3051197,0.0,2022-09-20
586,3049856,0.0,2022-09-20
587,3051195,0.0,2022-09-20
588,3051193,0.0,2022-09-20
589,3051191,0.0,2022-09-20
590,3051189,8.0,2022-09-20
591,3051187,0.0,2022-09-20
592,3023084,1.0,2022-09-20
593,3051184,0.0,2022-09-20
594,3051181,0.0,2022-09-20
595,3051179,0.0,2022-09-20
596,3051177,0.0,2022-09-20
597,1520742,0.0,2022-09-20
598,3051175,0.0,2022-09-20
599,3051171,0.0,2022-09-20
600,3051169,0.0,2022-09-20
601,3051167,0.0,2022-09-20
602,3051165,0.0,2022-09-20
603,2707302,2.0,2022-09-20
604,3051163,0.0,2022-09-20
605,3023042,0.0,2022-09-20
606,3051161,0.0,2022-09-20
607,3051159,0.0,2022-09-20
608,1350669,0.0,2022-09-20
609,3051155,0.0,2022-09-20
610,3051152,0.0,2022-09-20
611,3051150,0.0,2022-09-20
612,3051148,0.0,2022-09-20
613,3051144,0.0,2022-09-20
614,3051142,0.0,2022-09-20
615,3051140,0.0,2022-09-20
616,3051138,0.0,2022-09-20
617,3023041,0.0,2022-09-20
618,3138476,0.0,2022-09-20
619,3051129,0.0,2022-09-20
620,3227763,0.0,2022-09-20
621,3051126,0.0,2022-09-20
622,3051120,0.0,2022-09-20
623,3051118,0.0,2022-09-20
624,3051116,4.0,2022-09-20
625,3051114,0.0,2022-09-20
626,3051112,0.0,2022-09-20
627,3051110,0.0,2022-09-20
628,3023039,0.0,2022-09-20
629,3051108,0.0,2022-09-20
630,3051106,0.0,2022-09-20
631,3051104,0.0,2022-09-20
632,3051100,0.0,2022-09-20
633,3051098,0.0,2022-09-20
634,3023038,0.0,2022-09-20
635,3051096,0.0,2022-09-20
636,2700832,0.0,2022-09-20
637,3022900,0.0,2022-09-20
638,2700825,0.0,2022-09-20
639,3051090,0.0,2022-09-20
640,3051089,0.0,2022-09-20
641,2700823,0.0,2022-09-20
642,3051087,0.0,2022-09-20
643,3051085,0.0,2022-09-20
644,3051083,0.0,2022-09-20
645,2493774,0.0,2022-09-20
646,3051081,0.0,2022-09-20
647,3051079,0.0,2022-09-20
648,3051077,0.0,2022-09-20
649,3051073,0.0,2022-09-20
650,3051071,0.0,2022-09-20
651,3023036,0.0,2022-09-20
652,3051064,0.0,2022-09-20
653,1582591,0.0,2022-09-20
654,3051061,0.0,2022-09-20
655,3051058,0.0,2022-09-20
656,2700818,0.0,2022-09-20
657,3051055,0.0,2022-09-20
658,3023035,1.0,2022-09-20
659,3051052,0.0,2022-09-20
660,3051049,0.0,2022-09-20
661,3051046,0.0,2022-09-20
662,3051043,0.0,2022-09-20
663,3051040,0.0,2022-09-20
664,3002453,0.0,2022-09-20
665,3051038,0.0,2022-09-20
666,3023034,0.0,2022-09-20
667,3051035,0.0,2022-09-20
668,3051032,0.0,2022-09-20
669,3051026,4.0,2022-09-20
670,1523343,0.0,2022-09-20
671,3051023,0.0,2022-09-20
672,2893494,0.0,2022-09-20
673,3051016,0.0,2022-09-20
674,3051011,0.0,2022-09-20
675,3051008,0.0,2022-09-20
676,3051005,0.0,2022-09-20
677,3051002,0.0,2022-09-20
678,3050999,0.0,2022-09-20
679,3050996,0.0,2022-09-20
680,3050993,6.0,2022-09-20
681,2697631,0.0,2022-09-20
682,3050990,0.0,2022-09-20
683,3050986,0.0,2022-09-20
684,3050983,0.0,2022-09-20
685,3050980,0.0,2022-09-20
686,2736480,0.0,2022-09-20
687,3050971,0.0,2022-09-20
688,3050968,0.0,2022-09-20
689,3050967,0.0,2022-09-20
690,3050963,0.0,2022-09-20
691,3050959,0.0,2022-09-20
692,3050957,0.0,2022-09-20
693,302478,0.0,2022-09-20
694,3050954,0.0,2022-09-20
695,3050951,0.0,2022-09-20
696,3050947,0.0,2022-09-20
697,3050944,0.0,2022-09-20
698,3050941,0.0,2022-09-20
699,3050938,0.0,2022-09-20
700,3050935,0.0,2022-09-20
701,3023033,0.0,2022-09-20
702,603484,0.0,2022-09-20
703,3050933,0.0,2022-09-20
704,3050929,0.0,2022-09-20
705,2700785,0.0,2022-09-20
706,3050927,0.0,2022-09-20
707,3050924,0.0,2022-09-20
708,3050922,0.0,2022-09-20
709,1522602,0.0,2022-09-20
710,3050919,0.0,2022-09-20
711,3050915,0.0,2022-09-20
712,3050908,0.0,2022-09-20
713,3050905,0.0,2022-09-20
714,3050902,0.0,2022-09-20
715,3050899,0.0,2022-09-20
716,3023032,0.0,2022-09-20
717,3050897,0.0,2022-09-20
718,3050894,0.0,2022-09-20
719,3050891,0.0,2022-09-20
720,2914490,0.0,2022-09-20
721,3050886,0.0,2022-09-20
722,3050883,6.0,2022-09-20
723,3050880,0.0,2022-09-20
724,3050877,0.0,2022-09-20
725,3023031,9.0,2022-09-20
726,3050873,0.0,2022-09-20
727,3015220,0.0,2022-09-20
728,3023030,0.0,2022-09-20
729,3050869,0.0,2022-09-20
730,3050865,0.0,2022-09-20
731,3050860,0.0,2022-09-20
732,3050852,0.0,2022-09-20
733,2700760,0.0,2022-09-20
734,3050847,0.0,2022-09-20
735,3050839,0.0,2022-09-20
736,3064667,0.0,2022-09-20
737,3050835,14.000000000000002,2022-09-20
738,3050830,0.0,2022-09-20
739,3050826,0.0,2022-09-20
740,3050818,0.0,2022-09-20
741,3050814,0.0,2022-09-20
742,3023028,0.0,2022-09-20
743,297699,6.0,2022-09-20
744,2701907,0.0,2022-09-20
745,3050806,0.0,2022-09-20
746,3050801,0.0,2022-09-20
747,3007857,0.0,2022-09-20
748,3050793,0.0,2022-09-20
749,3050789,0.0,2022-09-20
750,3050778,0.0,2022-09-20
751,3050773,0.0,2022-09-20
752,3050769,0.0,2022-09-20
753,3023027,0.0,2022-09-20
754,3050765,0.0,2022-09-20
755,3023026,0.0,2022-09-20
756,3050761,0.0,2022-09-20
757,3050756,0.0,2022-09-20
758,2827989,0.0,2022-09-20
759,3050752,0.0,2022-09-20
760,2700733,8.0,2022-09-20
761,3050745,0.0,2022-09-20
762,3050742,0.0,2022-09-20
763,3050734,0.0,2022-09-20
764,3050730,0.0,2022-09-20
765,3050725,0.0,2022-09-20
766,3050721,0.0,2022-09-20
767,3050717,0.0,2022-09-20
768,3050713,0.0,2022-09-20
769,3050710,0.0,2022-09-20
770,3050706,0.0,2022-09-20
771,3050703,0.0,2022-09-20
772,3050700,0.0,2022-09-20
773,3050695,0.0,2022-09-20
774,1466975,1.0,2022-09-20
775,3050690,0.0,2022-09-20
776,2700727,0.0,2022-09-20
777,3050679,0.0,2022-09-20
778,3050677,0.0,2022-09-20
779,2664953,0.0,2022-09-20
780,3050667,0.0,2022-09-20
781,3050659,0.0,2022-09-20
782,3050655,0.0,2022-09-20
783,3050651,0.0,2022-09-20
784,3050647,0.0,2022-09-20
785,3050643,0.0,2022-09-20
786,3050639,0.0,2022-09-20
787,3050635,0.0,2022-09-20
788,3050631,0.0,2022-09-20
789,3050624,0.0,2022-09-20
790,3023024,0.0,2022-09-20
791,3050621,0.0,2022-09-20
792,3050617,0.0,2022-09-20
793,3050614,0.0,2022-09-20
794,3050609,0.0,2022-09-20
795,3050604,0.0,2022-09-20
796,3023023,0.0,2022-09-20
797,3050600,0.0,2022-09-20
798,3050596,0.0,2022-09-20
799,1931507,0.0,2022-09-20
800,3050594,0.0,2022-09-20
801,3050585,0.0,2022-09-20
802,317936,0.0,2022-09-20
803,3050581,0.0,2022-09-20
804,3023022,0.0,2022-09-20
805,3050576,0.0,2022-09-20
806,3050572,0.0,2022-09-20
807,3050569,0.0,2022-09-20
808,3050566,0.0,2022-09-20
809,3050563,0.0,2022-09-20
810,3050561,0.0,2022-09-20
811,3050558,0.0,2022-09-20
812,3050554,0.0,2022-09-20
813,3035472,22.0,2022-09-20
814,3050548,4.0,2022-09-20
815,3050545,0.0,2022-09-20
816,3050542,1.0,2022-09-20
817,3050539,0.0,2022-09-20
818,3050535,0.0,2022-09-20
819,3050533,0.0,2022-09-20
